label,n_points,file
8,819,valve_0055_lidar_classes.ply
9,2684,valve_0055_lidar_classes.ply
0,666,valve_0056_lidar_classes.ply
1,200,valve_0056_lidar_classes.ply
2,100,valve_0056_lidar_classes.ply
3,780,valve_0056_lidar_classes.ply
4,102,valve_0056_lidar_classes.ply
5,1295,valve_0056_lidar_classes.ply
6,472,valve_0056_lidar_classes.ply
7,471,valve_0056_lidar_classes.ply
8,882,valve_0056_lidar_classes.ply
9,3186,valve_0056_lidar_classes.ply
0,733,valve_0057_lidar_classes.ply
1,152,valve_0057_lidar_classes.ply
2,63,valve_0057_lidar_classes.ply
3,439,valve_0057_lidar_classes.ply
4,76,valve_0057_lidar_classes.ply
5,857,valve_0057_lidar_classes.ply
6,274,valve_0057_lidar_classes.ply
7,351,valve_0057_lidar_classes.ply
8,643,valve_0057_lidar_classes.ply
9,3002,valve_0057_lidar_classes.ply
0,741,valve_0058_lidar_classes.ply
1,140,valve_0058_lidar_classes.ply
2,61,valve_0058_lidar_classes.ply
3,450,valve_0058_lidar_classes.ply
4,60,valve_0058_lidar_classes.ply
5,880,valve_0058_lidar_classes.ply
6,307,valve_0058_lidar_classes.ply
7,312,valve_0058_lidar_classes.ply
8,700,valve_0058_lidar_classes.ply
9,2718,valve_0058_lidar_classes.ply
0,603,valve_0059_lidar_classes.ply
1,172,valve_0059_lidar_classes.ply
2,88,valve_0059_lidar_classes.ply
3,552,valve_0059_lidar_classes.ply
4,88,valve_0059_lidar_classes.ply
5,1028,valve_0059_lidar_classes.ply
6,655,valve_0059_lidar_classes.ply
7,484,valve_0059_lidar_classes.ply
8,810,valve_0059_lidar_classes.ply
9,2750,valve_0059_lidar_classes.ply
0,814,valve_0060_lidar_classes.ply
1,151,valve_0060_lidar_classes.ply
2,66,valve_0060_lidar_classes.ply
3,491,valve_0060_lidar_classes.ply
4,84,valve_0060_lidar_classes.ply
5,855,valve_0060_lidar_classes.ply
6,295,valve_0060_lidar_classes.ply
7,471,valve_0060_lidar_classes.ply
8,770,valve_0060_lidar_classes.ply
9,2793,valve_0060_lidar_classes.ply
0,798,valve_0061_lidar_classes.ply
1,169,valve_0061_lidar_classes.ply
2,92,valve_0061_lidar_classes.ply
3,665,valve_0061_lidar_classes.ply
4,83,valve_0061_lidar_classes.ply
5,1018,valve_0061_lidar_classes.ply
6,421,valve_0061_lidar_classes.ply
7,411,valve_0061_lidar_classes.ply
8,678,valve_0061_lidar_classes.ply
9,3297,valve_0061_lidar_classes.ply
0,698,valve_0062_lidar_classes.ply
1,147,valve_0062_lidar_classes.ply
2,61,valve_0062_lidar_classes.ply
3,465,valve_0062_lidar_classes.ply
4,52,valve_0062_lidar_classes.ply
5,856,valve_0062_lidar_classes.ply
6,316,valve_0062_lidar_classes.ply
7,351,valve_0062_lidar_classes.ply
8,682,valve_0062_lidar_classes.ply
9,2983,valve_0062_lidar_classes.ply
0,792,valve_0063_lidar_classes.ply
1,187,valve_0063_lidar_classes.ply
2,97,valve_0063_lidar_classes.ply
3,655,valve_0063_lidar_classes.ply
4,82,valve_0063_lidar_classes.ply
5,1020,valve_0063_lidar_classes.ply
6,423,valve_0063_lidar_classes.ply
7,397,valve_0063_lidar_classes.ply
8,736,valve_0063_lidar_classes.ply
9,3382,valve_0063_lidar_classes.ply
0,606,valve_0064_lidar_classes.ply
1,179,valve_0064_lidar_classes.ply
2,80,valve_0064_lidar_classes.ply
3,579,valve_0064_lidar_classes.ply
4,77,valve_0064_lidar_classes.ply
5,970,valve_0064_lidar_classes.ply
6,778,valve_0064_lidar_classes.ply
7,424,valve_0064_lidar_classes.ply
8,631,valve_0064_lidar_classes.ply
9,3072,valve_0064_lidar_classes.ply
0,522,valve_0065_lidar_classes.ply
1,135,valve_0065_lidar_classes.ply
2,75,valve_0065_lidar_classes.ply
3,597,valve_0065_lidar_classes.ply
4,68,valve_0065_lidar_classes.ply
5,876,valve_0065_lidar_classes.ply
6,598,valve_0065_lidar_classes.ply
7,362,valve_0065_lidar_classes.ply
8,614,valve_0065_lidar_classes.ply
9,2648,valve_0065_lidar_classes.ply
0,646,valve_0066_lidar_classes.ply
1,229,valve_0066_lidar_classes.ply
2,105,valve_0066_lidar_classes.ply
3,752,valve_0066_lidar_classes.ply
4,102,valve_0066_lidar_classes.ply
5,1068,valve_0066_lidar_classes.ply
6,498,valve_0066_lidar_classes.ply
7,495,valve_0066_lidar_classes.ply
8,665,valve_0066_lidar_classes.ply
9,3709,valve_0066_lidar_classes.ply
0,836,valve_0067_lidar_classes.ply
1,181,valve_0067_lidar_classes.ply
2,90,valve_0067_lidar_classes.ply
3,641,valve_0067_lidar_classes.ply
4,68,valve_0067_lidar_classes.ply
5,1131,valve_0067_lidar_classes.ply
6,419,valve_0067_lidar_classes.ply
7,439,valve_0067_lidar_classes.ply
8,776,valve_0067_lidar_classes.ply
9,2819,valve_0067_lidar_classes.ply
0,917,valve_0068_lidar_classes.ply
1,134,valve_0068_lidar_classes.ply
2,91,valve_0068_lidar_classes.ply
3,570,valve_0068_lidar_classes.ply
4,66,valve_0068_lidar_classes.ply
5,1131,valve_0068_lidar_classes.ply
6,429,valve_0068_lidar_classes.ply
7,455,valve_0068_lidar_classes.ply
8,687,valve_0068_lidar_classes.ply
9,3199,valve_0068_lidar_classes.ply
0,662,valve_0069_lidar_classes.ply
1,156,valve_0069_lidar_classes.ply
2,68,valve_0069_lidar_classes.ply
3,582,valve_0069_lidar_classes.ply
4,93,valve_0069_lidar_classes.ply
5,928,valve_0069_lidar_classes.ply
6,465,valve_0069_lidar_classes.ply
7,506,valve_0069_lidar_classes.ply
8,663,valve_0069_lidar_classes.ply
9,2967,valve_0069_lidar_classes.ply
0,811,valve_0070_lidar_classes.ply
1,220,valve_0070_lidar_classes.ply
