file,label,n_points,geo_class,method,rec_status,n_vertices,n_faces,cloud_to_mesh_mean,cloud_to_mesh_max,cloud_to_mesh_rmse,cloud_to_mesh_median,mesh_to_cloud_mean,mesh_to_cloud_rmse,hausdorff_approx,surface_area,n_mesh_components,largest_comp_ratio
valve_0399_lidar_classes.ply,9,2947,complex,poisson,ok,7119,13690,1.120422561616199,20.264349392411777,1.5985078179133239,0.967530789051112,1.3676221122603047,1.496343294515993,20.264349392411777,28699.0778070292,1,1.0
valve_0400_lidar_classes.ply,0,465,tubular,ball_pivoting,ok,454,841,0.12400782140292377,7.625475831292466,0.8441281068741474,0.0,0.0,0.0,7.625475831292466,6234.951785620013,1,1.0
valve_0400_lidar_classes.ply,1,177,complex,poisson,ok,2466,4691,0.7155070086348566,3.4276771387197593,0.8384324323427927,0.6516664968482841,3.0338731939389763,3.6662130757383777,10.964427307078834,4455.5489746861695,17,0.9727137070986996
valve_0400_lidar_classes.ply,2,73,complex,poisson,ok,2061,3894,0.41902785769304507,4.11061141133435,0.6336708921870124,0.34371522873611327,1.6851359978648528,1.8567995584010943,4.144151440629727,966.0109891467595,23,0.9465844889573704
valve_0400_lidar_classes.ply,3,554,tubular,ball_pivoting,ok,429,758,1.05057551110485,5.790135985464266,2.2637025959443786,0.0,0.0,0.0,5.790135985464266,5977.508109148114,1,1.0
valve_0400_lidar_classes.ply,5,1012,complex,poisson,ok,3153,6132,1.1013123921674497,4.547439314933016,1.218758325456539,1.1098081678606124,3.2644566644828372,4.654715197659247,17.864396635464974,17563.62912358543,1,1.0
valve_0400_lidar_classes.ply,6,589,complex,poisson,ok,3263,6260,0.9547940788350652,3.9841065596393217,1.1319327800203638,0.8642063502721573,3.565527397600266,4.79233970860704,14.630207367125285,9888.978472055554,1,1.0
valve_0400_lidar_classes.ply,7,305,complex,ball_pivoting,ok,286,488,0.2062572955210111,3.9064345277126535,0.8304098014121042,0.0,0.0,0.0,3.9064345277126535,3697.2189660175873,2,0.9918032786885246
valve_0400_lidar_classes.ply,8,685,complex,poisson,ok,2979,5688,0.9590613638014924,3.5936752839965207,1.05117395294397,0.9764801804874395,2.8549884635325684,3.693223521370615,11.796739336310077,12984.63042642824,1,1.0
valve_0400_lidar_classes.ply,9,2646,spherical,ball_pivoting,ok,2623,5123,0.03322132660815244,4.9996248826126575,0.3621129968405007,0.0,0.0,0.0,4.9996248826126575,35570.19774896325,1,1.0
valve_0401_lidar_classes.ply,0,350,tubular,ball_pivoting,ok,342,606,0.11826957346842602,7.380981266095383,0.8101493456225403,0.0,0.0,0.0,7.380981266095383,4196.083445653248,1,1.0
valve_0401_lidar_classes.ply,1,154,complex,poisson,ok,2938,5608,0.7802406700114995,4.175169963984031,0.9991396096615739,0.6845591016823261,4.510255629446289,5.778162387243708,19.41755129671259,5084.358429469422,22,0.9700427960057061
valve_0401_lidar_classes.ply,2,70,complex,poisson,ok,1933,3669,0.3801271863175481,1.3059580837583524,0.41388697719721845,0.36090528022177715,1.681238959923971,1.852507293525503,4.759435383507558,953.7375986563926,16,0.958571817934042
valve_0401_lidar_classes.ply,3,589,tubular,ball_pivoting,ok,496,795,0.6959817876146113,6.482946867173993,1.7958370734733946,0.0,0.0,0.0,6.482946867173993,5926.833385547191,8,0.9622641509433962
valve_0401_lidar_classes.ply,4,73,complex,poisson,ok,2657,5116,0.584991128823572,1.0021786770380676,0.6353944800165932,0.590586425385279,6.427746192316171,7.889601818156517,20.887344288220667,4185.013824133956,2,0.9984362783424551
valve_0401_lidar_classes.ply,5,999,complex,poisson,ok,3094,6010,1.1047734825230047,3.418638456278535,1.2047757690084842,1.1410131140480706,3.0136912432222376,4.192762711865192,14.600047050985117,16918.120167686164,1,1.0
