obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces,ref_verts
16.06.obj,valve_0002_lidar_classes_reconstructed.ply,ok,52.786750995847726,73.69281492009152,119.55660216480348,57.88518091777276,35210,18656,36316
16.06.obj,valve_0003_lidar_classes_reconstructed.ply,ok,55.75744151653316,77.23247964748148,133.02108590104754,61.276736515433704,51700,18656,36316
16.06.obj,valve_0004_lidar_classes_reconstructed.ply,ok,52.33125627327451,73.47147723807142,129.5384955687335,57.58720870173185,52080,18656,36316
16.06.obj,valve_0005_lidar_classes_reconstructed.ply,ok,54.30502014453206,73.6804985283646,125.38633906078735,58.98636270456768,51819,18656,36316
16.06.obj,valve_0006_lidar_classes_reconstructed.ply,ok,52.303624552692455,74.03691938125391,120.54900966887898,57.68399683885076,35374,18656,36316
16.06.obj,valve_0007_lidar_classes_reconstructed.ply,ok,53.51344913334216,70.47691539208265,112.44271638268073,56.960569366548924,33440,18656,36316
16.06.obj,valve_0008_lidar_classes_reconstructed.ply,ok,51.717712627581655,73.85034780283866,118.17978698553642,57.90792333327638,37892,18656,36316
16.06.obj,valve_0009_lidar_classes_reconstructed.ply,ok,57.120458365758225,78.08086917074391,125.24199535002386,62.56315971215654,51918,18656,36316
16.06.obj,valve_0010_lidar_classes_reconstructed.ply,ok,52.184979114063886,69.18172034003896,117.60636846056472,55.150399268360374,40525,18656,36316
16.06.obj,valve_0011_lidar_classes_reconstructed.ply,ok,52.95702178085727,70.90248761303424,118.80597055740203,56.357407885846335,36496,18656,36316
16.06.obj,valve_0012_lidar_classes_reconstructed.ply,ok,56.742099594818214,73.08849574225803,130.32770653742992,59.07132627531621,35324,18656,36316
16.06.obj,valve_0013_lidar_classes_reconstructed.ply,ok,53.14289702596796,70.65254492606225,117.19881072318793,56.74954451897004,39271,18656,36316
16.06.obj,valve_0014_lidar_classes_reconstructed.ply,ok,56.14658075711466,75.76441766803556,127.1299664539124,60.630060217060674,43266,18656,36316
16.06.obj,valve_0015_lidar_classes_reconstructed.ply,ok,53.62311673053409,72.96925444725518,126.52082513045478,58.15801079591161,51403,18656,36316
16.06.obj,valve_0016_lidar_classes_reconstructed.ply,ok,55.7027370178756,73.48390610433212,114.25148072075974,59.68124210199211,45164,18656,36316
16.06.obj,valve_0017_lidar_classes_reconstructed.ply,ok,56.89726445056222,78.15017299464417,134.4088307941923,62.50687243077525,53831,18656,36316
16.06.obj,valve_0018_lidar_classes_reconstructed.ply,ok,53.795600509029796,70.69491737755968,119.93745542666421,56.39106409904427,30582,18656,36316
16.06.obj,valve_0019_lidar_classes_reconstructed.ply,ok,56.89462126609484,78.29389023692887,131.09751393914712,62.62202380776388,53469,18656,36316
16.06.obj,valve_0020_lidar_classes_reconstructed.ply,ok,56.85253470208194,74.84959352179345,118.30841442352352,61.08292528634979,43858,18656,36316
16.07.obj,valve_0001_lidar_classes_reconstructed.ply,ok,65.60067130756279,75.12363748455938,135.2764063953083,62.58286882078791,32077,2522,4042
16.07.obj,valve_0002_lidar_classes_reconstructed.ply,ok,74.23769186167866,78.49586275837521,141.358856631719,70.086213134577,35210,2522,4042
16.07.obj,valve_0003_lidar_classes_reconstructed.ply,ok,71.8247016904649,80.28225431444794,150.32274767820934,68.86280078252669,51700,2522,4042
16.07.obj,valve_0004_lidar_classes_reconstructed.ply,ok,70.99910551258985,77.21655900788635,145.64434914293557,67.50414014255617,52080,2522,4042
16.07.obj,valve_0005_lidar_classes_reconstructed.ply,ok,69.27018731144528,76.51164072462153,136.3520399645701,65.62389680210416,51819,2522,4042
16.07.obj,valve_0006_lidar_classes_reconstructed.ply,ok,72.77440727704546,78.85888343238575,140.28286939038844,69.26336239578302,35374,2522,4042
16.07.obj,valve_0007_lidar_classes_reconstructed.ply,ok,70.44915366611548,72.91885749880021,125.75941040795286,64.5687918333405,33440,2522,4042
16.07.obj,valve_0008_lidar_classes_reconstructed.ply,ok,71.61543954384277,78.11231777206486,130.86549220007566,68.90014926952429,37892,2522,4042
16.07.obj,valve_0009_lidar_classes_reconstructed.ply,ok,75.51090059201695,82.01750873820406,149.18348026899108,71.7480621061768,51918,2522,4042
16.07.obj,valve_0010_lidar_classes_reconstructed.ply,ok,65.15452196008768,71.87259354499415,130.69011875465182,61.04653032564909,40525,2522,4042
16.07.obj,valve_0011_lidar_classes_reconstructed.ply,ok,65.85930692445105,73.01109993904343,132.61664058161068,61.98415861410113,36496,2522,4042
